date,close,sigma,r,strike,dte,tau_years,put_px,put_delta,contracts,cash,portfolio_value,portfolio_delta,rebalanced,rolled,trade_contracts,option_cashflow,cum_hedge_cost
2022-01-03,182.00999450683594,0.3075,0.0008,172.90949478149415,90,0.2465753424657534,6.838146649077082,-0.3395973732088593,2.9446635306715985,-2013.604105492148,18200.999450683594,-1.4210854715202004e-14,True,True,2.9446635306715985,-2013.604105492148,2013.604105492148
2022-01-04,179.6999969482422,0.3135,0.0008,172.90949478149415,89,0.24383561643835616,7.80193275437702,-0.37164700611938084,2.9446635306715985,-2013.6085188758457,18253.797861004998,-9.43753852030251,False,False,0.0,0.0,2013.604105492148
2022-01-05,174.9199981689453,0.3401,0.0009,172.90949478149415,88,0.2410958904109589,10.576379214455756,-0.4387958455946869,2.9446635306715985,-2013.613483944068,18592.77414888656,-29.210612393288017,False,False,0.0,0.0,2013.604105492148
2022-01-06,172.0,0.33630000000000004,0.001,172.90949478149415,87,0.23835616438356164,11.721428575569433,-0.4794935506890162,2.9446635306715985,-2013.6190007008963,18637.947324684228,-41.19471719061795,False,False,0.0,0.0,2013.604105492148
2022-01-07,172.1699981689453,0.33030000000000004,0.001,172.90949478149415,86,0.2356164383561644,11.375752103177248,-0.47810840837929425,2.9446635306715985,-2013.6245174728388,18553.15153464037,-40.78683938619511,False,False,0.0,0.0,2013.604105492148
2022-01-10,172.19000244140625,0.33590000000000003,0.0013000000000000002,172.90949478149415,83,0.2273972602739726,11.350228499420894,-0.4777097931195179,2.0933211217418157,-1047.3529457677892,18547.6146038162,1.4210854715202004e-14,True,False,-0.8513424089297827,966.2930872600456,1047.3110182321025
2022-01-11,175.0800018310547,0.3154,0.0011,172.90949478149415,82,0.22465753424657534,9.296816620360588,-0.4365010467302243,2.0933211217418157,-1047.3561021786832,18406.766340562903,8.626313921721021,False,False,0.0,0.0,1047.3110182321025
2022-01-12,175.52999877929688,0.3091,0.0012,172.90949478149415,81,0.2219178082191781,8.832689498684772,-0.42938718570821666,2.0933211217418157,-1047.3595455468712,18354.60588132121,10.115473475171456,False,False,0.0,0.0,1047.3110182321025
2022-01-13,172.19000244140625,0.33890000000000003,0.0012,172.90949478149415,80,0.2191780821917808,11.249235552350086,-0.47818587825738024,2.0933211217418157,-1047.36298892638,18526.463493732586,-0.09965990748344211,False,False,0.0,0.0,1047.3110182321025
2022-01-14,173.07000732421875,0.3237,0.0013000000000000002,172.90949478149415,79,0.21643835616438356,10.277466930835956,-0.46679570464182485,2.0933211217418157,-1047.3667192669564,18411.037873587113,2.2846691934913963,False,False,0.0,0.0,1047.3110182321025
