date,close,sigma,r,strike,dte,tau_years,put_px,put_delta,contracts,cash,portfolio_value,portfolio_delta,rebalanced,rolled,trade_contracts,option_cashflow,cum_hedge_cost
2022-01-03,182.00999450683594,0.3075,0.0008,172.90949478149415,90,0.2465753424657534,6.838146649077082,-0.3395973732088593,2.9446635306715985,-2013.604105492148,18200.999450683594,-1.4210854715202004e-14,True,True,2.9446635306715985,-2013.604105492148,2013.604105492148
2022-01-04,179.6999969482422,0.3135,0.0008,172.90949478149415,89,0.24383561643835616,7.80193275437702,-0.37164700611938084,2.690725294525254,-1815.4876146579566,18253.797861004998,1.4210854715202004e-14,True,False,-0.2539382361463445,198.12090421788918,1815.4832012742588
2022-01-05,174.9199981689453,0.3401,0.0009,172.90949478149415,88,0.2410958904109589,10.576379214455756,-0.4387958455946869,2.2789641470846878,-1379.9978870971931,18522.320833368976,1.4210854715202004e-14,True,False,-0.41176114744056624,435.49420411108565,1379.9889971631733
2022-01-06,172.0,0.33630000000000004,0.001,172.90949478149415,87,0.23835616438356164,11.721428575569433,-0.4794935506890162,2.0855337857266973,-1153.2736514180742,18491.269879715168,-1.4210854715202004e-14,True,False,-0.1934303613579904,226.728016500427,1153.2609806627463
2022-01-07,172.1699981689453,0.33030000000000004,0.001,172.90949478149415,86,0.2356164383561644,11.375752103177248,-0.47810840837929425,2.0915758486445135,-1160.1501120707296,18436.17454074106,0.0,True,False,0.006042062917816171,-6.873300994487657,1160.134281657234
2022-01-10,172.19000244140625,0.33590000000000003,0.0013000000000000002,172.90949478149415,83,0.2273972602739726,11.350228499420894,-0.4777097931195179,2.0933211217418157,-1162.1434331062683,18432.82411647772,1.4210854715202004e-14,True,False,0.0017452730973022135,-1.9809248448272156,1162.1152065020613
2022-01-11,175.0800018310547,0.3154,0.0011,172.90949478149415,82,0.22465753424657534,9.296816620360588,-0.4365010467302243,2.290945250855358,-1345.8744642743247,18291.975507279967,0.0,True,False,0.19762412911354232,-183.72752881270668,1345.8427353147679
2022-01-12,175.52999877929688,0.3091,0.0012,172.90949478149415,81,0.2219178082191781,8.832689498684772,-0.42938718570821666,2.3289004266641866,-1379.4035173530954,18230.64179478452,0.0,True,False,0.03795517580882857,-33.52462827873744,1379.3673635935054
2022-01-13,172.19000244140625,0.33890000000000003,0.0012,172.90949478149415,80,0.2191780821917808,11.249235552350086,-0.47818587825738024,2.0912369968854603,-1112.0548620097823,18459.427139506217,-1.4210854715202004e-14,True,False,-0.23766342977872634,267.3531903760306,1112.0141732174748
2022-01-14,173.07000732421875,0.3237,0.0013000000000000002,172.90949478149415,79,0.21643835616438356,10.277466930835956,-0.46679570464182485,2.1422647853353878,-1164.5024635949621,18344.203817664795,0.0,True,False,0.0510277884499275,-52.443640834782286,1164.4578140522572
2022-01-18,169.8000030517578,0.37320000000000003,0.0016,172.90949478149415,75,0.2054794520547945,13.139120755833474,-0.5082740190650515,1.967442683455388,-934.8220117083164,18630.224993277607,0.0,True,False,-0.1748221018799998,229.70087073899398,934.7569433132632
2022-01-19,166.22999572753906,0.37210000000000004,0.0017000000000000001,172.90949478149415,74,0.20273972602739726,14.934148679786517,-0.5593449823050209,1.7878054360639315,-666.5534295868295,18626.38136243801,0.0,True,False,-0.17963724739145648,268.27293609716037,666.4840072161028
2022-01-20,164.50999450683594,0.3829,0.0017000000000000001,172.90949478149415,73,0.2,16.154982667125367,-0.5805110105436155,1.7226202119121856,-561.2499174570709,18672.639499774643,0.0,True,False,-0.06518522415174588,105.30661663241365,561.1773905836891
2022-01-21,162.41000366210938,0.40590000000000004,0.0017000000000000001,172.90949478149415,72,0.19726027397260273,17.97027975717586,-0.6008283800374108,1.6643687835413743,-456.5730850960128,18775.344547049823,0.0,True,False,-0.05825142837081132,104.67944640785703,456.49794417583206
2022-01-24,161.6199951171875,0.4239,0.0019,172.90949478149415,69,0.18904109589041096,18.696328034195844,-0.6072834313526037,1.6466775616991525,-423.5041265083335,18817.17777121813,0.0,True,False,-0.017691221842221827,33.07608868879098,423.42185548704106
2022-01-25,159.77999877929688,0.4532,0.0019,172.90949478149415,68,0.1863013698630137,20.521072312235916,-0.6194708132216507,1.614281058375213,-357.0252323186844,18933.65247873005,0.0,True,False,-0.03239650332393951,66.48109873741538,356.9407567496257
2022-01-26,159.69000244140625,0.4497,0.0019,172.90949478149415,67,0.18356164383561643,20.39883369833798,-0.623487598851383,1.603881138682221,-335.81246758169084,18904.918238546892,0.0,True,False,-0.010399919692992032,21.214623229341466,335.72613352028424
2022-01-27,159.22000122070312,0.45909999999999995,0.002,172.90949478149415,66,0.18082191780821918,20.845486187892106,-0.6266645831563017,1.5957499863217603,-318.8645252328849,18929.554026757352,0.0,True,False,-0.00813115236046058,16.949782422162734,318.7763510981215
2022-01-28,170.3300018310547,0.3563,0.0019,172.90949478149415,65,0.1780821917808219,11.59247281091416,-0.5089898116713686,1.9646758679045115,-746.5425102289971,18564.002830970698,0.0,True,False,0.3689258815827512,-427.676325149058,746.4526762471795
2022-01-31,174.77999877929688,0.3141,0.0022,172.90949478149415,62,0.16986301369863013,8.035814586953151,-0.4400944097548509,2.272239723647109,-993.7086213154789,18310.22096824799,1.4210854715202004e-14,True,False,0.30756385574259726,-247.15261183959177,993.6052880867712
2022-02-01,174.61000061035156,0.30460000000000004,0.0019,172.90949478149415,61,0.16712328767123288,7.775628934340617,-0.4429854157278187,2.2574106607031617,-982.1832649691405,18234.095561071263,1.4210854715202004e-14,True,False,-0.014829062943947147,11.530529089611369,982.0747589971598
2022-02-02,175.83999633789062,0.29460000000000003,0.0019,172.90949478149415,60,0.1643835616438356,6.895682155323058,-0.41955164635495934,2.3834967844553647,-1069.1333610764439,18158.449897096492,0.0,True,False,0.12608612375220307,-86.94498335919215,1069.019742356352
2022-02-03,172.89999389648438,0.3418,0.002,172.90949478149415,59,0.16164383561643836,9.446971825618917,-0.471833003579331,2.1193939220317097,-819.6419893193283,18472.542867211265,0.0,True,False,-0.264102862423655,249.49723003815777,819.5225123181942
2022-02-04,172.38999938964844,0.3194,0.0023,172.90949478149415,58,0.1589041095890411,8.992092368195486,-0.4828911576202718,2.0708600358890066,-776.0050354846643,18325.131375912035,0.0,True,False,-0.04853388614270315,43.64211871826697,775.8803935999273
